rank,brand,name,original_price,sale_price,discount_pct,url,raw_name
37,MEDIHEAL,MEDIHEAL Collagen Essential Mask Sheet Core Firming 20ea,53.0,53.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250429964,MEDIHEAL Collagen Essential Mask Sheet Core Firming 20ea
38,rom&nd rom&nd The Juicy Lasting Tint 3.5g,rom&nd The Juicy Lasting Tint 3.5g,38.0,16.99,55.29,https://global.oliveyoung.com/product/detail?prdtNo=GA241126576,rom&nd The Juicy Lasting Tint 3.5g
39,Arencia,Arencia Fresh Green Rice Mochi Cleanser 120g Set (+Rosehip Cleanser 15g),39.0,23.0,41.03,https://global.oliveyoung.com/product/detail?prdtNo=GA241227085,Arencia Fresh Green Rice Mochi Cleanser 120g Set (+Rosehip Cleanser 15g)
40,d'Alba,d'Alba Waterful Tone Up Sun Cream Purple 50mL Duo Set,59.0,59.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA240222109,d'Alba Waterful Tone Up Sun Cream Purple 50mL Duo Set
41,ILLIYOON,ILLIYOON Ceramide Ato Lotion 334mL + 100mL,41.0,22.0,46.34,https://global.oliveyoung.com/product/detail?prdtNo=GA210911943,ILLIYOON Ceramide Ato Lotion 334mL + 100mL
42,DERMALINE,DERMALINE D'LEXO PDRN Solution Activating Toner 200 ml,64.0,64.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA241026314,DERMALINE D'LEXO PDRN Solution Activating Toner 200 ml
43,SKIN1004,SKIN1004 Madagascar Centella Ampoule 100ml,43.0,22.0,48.84,https://global.oliveyoung.com/product/detail?prdtNo=GA250127893,SKIN1004 Madagascar Centella Ampoule 100ml
44,CLIO CLIO Sharp So Simple Waterproof Pencil Liner,CLIO Sharp So Simple Waterproof Pencil Liner,44.0,11.0,75.0,https://global.oliveyoung.com/product/detail?prdtNo=GA240121726,CLIO Sharp So Simple Waterproof Pencil Liner
45,UNOVE,UNOVE Deep Damage Treatment EX 320mL Double Pack,49.0,49.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA220916169,UNOVE Deep Damage Treatment EX 320mL Double Pack
46,ROUND,ROUND LAB Birch Juice Moisturizing Cream 120mL Jumbo Size Set (+Birch Juice Moisturizing Pad*4ea),50.0,50.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA220514793,ROUND LAB Birch Juice Moisturizing Cream 120mL Jumbo Size Set (+Birch Juice Moisturizing Pad*4ea)
47,MEDIHEAL,MEDIHEAL Toner Pad 100+200 Pads Triple Pack (3types),70.0,70.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA240624205,MEDIHEAL Toner Pad 100+200 Pads Triple Pack (3types)
48,Anua,Anua PDRN Hyaluronic Capsule 100 Serum 30ml Refill Set,48.0,48.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250329148,Anua PDRN Hyaluronic Capsule 100 Serum 30ml Refill Set
49,Anua,Anua Heartleaf Pore Control Cleansing Oil 350mL,49.0,34.0,30.61,https://global.oliveyoung.com/product/detail?prdtNo=GA231020697,Anua Heartleaf Pore Control Cleansing Oil 350mL
50,+Keyring Pouch,[POKEMON EDITION] SUNGBOON EDITOR Silk Peptide EGF Heart-Fit Volume Lifting Ampoule 40ml Double Pack (+Keyring Pouch),50.0,50.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250732363,[POKEMON EDITION] SUNGBOON EDITOR Silk Peptide EGF Heart-Fit Volume Lifting Ampoule 40ml Double Pack (+Keyring Pouch)
51,ROUND,ROUND LAB Birch Juice Moisturizing Sun Stick 19g Double Set,51.0,32.61,36.06,https://global.oliveyoung.com/product/detail?prdtNo=GA240322554,ROUND LAB Birch Juice Moisturizing Sun Stick 19g Double Set
52,ongredients,ongredients Skin Barrier Calming Lotion Set (220ml+80ml),52.0,47.0,9.62,https://global.oliveyoung.com/product/detail?prdtNo=GA240623982,ongredients Skin Barrier Calming Lotion Set (220ml+80ml)
53,3CE 3CE Fitting Mesh Cushion,3CE Fitting Mesh Cushion,53.0,41.0,22.64,https://global.oliveyoung.com/product/detail?prdtNo=GA240724655,3CE Fitting Mesh Cushion
